Numero de producto;Nombre de producto;Unidad de medida de ventas;Nombre Grupo
3000085;BN 2007 SUPERBRIGHT BASE x 05 GAL;Und;ADITIVOS FABRICADOS
AF1520B0023;MAQUINA ENVOLVEDORA;;ADITIVOS COMERCIALIZ
AF1520B0064;VARIADOR HOLIP 100 HP A 440;;ADITIVOS COMERCIALIZ
3000086;BN 2007 SUPERBRIGHT x 05 GAL;Und;ADITIVOS FABRICADOS
5001365;FTG,PLUG,FLUSH,1/16 NPTF MIN ORDER 5 FITTING,PLUG,FLUSH,1/16 N;Und;REPUESTOS HOT MELT
3001045;COOPER DYEFREE BRIGHTENER  x 04 KGS;Und;ADITIVOS FABRICADOS
3000850;ROLLO YUMBO 60x15x4500 BYCSA;Und;ROLLOS FABRICADOS
AF1520B0024;BASCULA JJ;;ADITIVOS COMERCIALIZ
5000975;NYLON WHEEL ASSEMBLE;Und;REPUESTOS FILM MIMA
3001195;ANODOS GRAFITO 60CMx15CMx02CM;Und;ANODOS Y METALES
3001278;DIS-INFECTAN G x 500 ML;Und;LINEA DESINFECTANTES
5000981;CR04/CR05/CR06 MAINBOARD V2.0 CPL;Und;REPUESTOS FINISHING
3000504;POLVO DE ZINC x 50 KGS;kgs;SALES
3000211;CRYSTALITE R-130 H x 01 KGS;Und;ADITIVOS COMERCIALIZ
AF1520B0025;MAQUINA STRETCH LEASING;;ADITIVOS COMERCIALIZ
5000061;BOLSAS CESTAS 60x15x05 CMS POLIESTER;Und;RPTO LINEA GALVANICA
3001473;ROLLO MANUAL 45x15x400 BYCSA;Und;ROLLOS FABRICADOS
3001474;ANODOS GRAFITO ELECTROL�TICO 50CM X 25CM X 2CM;UND;ANODOS Y METALES
3000911;PURPURA BROMOCRESOL x 250 CC;CM3;REACTIVOS
3000447;OPTIUM NAFTAPLAST M x 55 GAL;Und;LUBRICANTES FABRICAD
3000807;OPTIUM NAFTAPLAST M x  GAL;Und;LUBRICANTES FABRICAD
5000955;MANGUITO;Und;REPUESTOS FINISHING
3000470;OPTIUM SAE 80W 90GL-5 MINERAL x 05 GAL;Und;LUBRICANTES FABRICAD
3000145;BZ NC SOLUCION PREPARADORA x 20 KGS;Und;ADITIVOS FABRICADOS
3000478;OPTIUM TERM B-90 x 55 GAL;Und;LUBRICANTES FABRICAD
3001483;ANODOS PLOMO SEMI-CIRCULAR DE 1.MT DE LONGITUD;KGS;ANODOS Y METALES
3000092;BN 83 BASE/BN BASE PLUS x 15 GAL;Und;ADITIVOS FABRICADOS
3001164;SOLUCION ANTIBACTERIAL EP x 500 ML;Und;LINEA DESINFECTANTES
3001534;NIQUEL R CAFE MONEDAS x KG;KGS;ANODOS Y METALES
3001570;CARBON ACTIVADO X 25 KGS;KGS;SALES
5001174;O-RING GASKET D13.10X1.60 NITRIL;Und;REPUESTOS FINISHING
3001380;JABON LIQUIDO PARA MANOS NUQUI x 01 LITRO;Und;LINEA DESINFECTANTES
5000115;CAPERUZA (COOLING FAN COVER BG);Und;RPTO LINEA GALVANICA
3000921;ROLLO SIGMAPLAST 30x15x300 BYCSA;Und;ROLLOS FABRICADOS
3000106;BN NIQUEL LC X 1 GAL;Und;ADITIVOS FABRICADOS
3000087;BN 76 SEMIBRIGHT x 05 GAL;Und;ADITIVOS FABRICADOS
5000197;DISCOS CARBO-PACK BOMBA 0620;Und;RPTO LINEA GALVANICA
AF1520B0026;OIL GUN W;;ADITIVOS COMERCIALIZ
7000148;ENVASE POTE 1 KG PEAD;Und;ENVASES  Y EMPAQUES
AF1520B0027;GREASE OIL HOSE;;ADITIVOS COMERCIALIZ
5000645;TOBERA TEFLON;Und;REPUESTOS FINISHING
AF1520B0028;AIR OPERATED OIL PUMP;;ADITIVOS COMERCIALIZ
3000094;BN 83 SUPERBRIGHT X 20 KGS;Und;ADITIVOS FABRICADOS
3001583;PREMEZCLA AB X KGS;Und;ADITIVOS FABRICADOS
5000122;CARTUCHOS ACTIV CARBON;Und;RPTO LINEA GALVANICA
3000370;OPTIUM 20W 50 4T JASO MA 1/4 GAL;Und;LUBRICANTES FABRICAD
5000599;SOPORTE DE ELECTRODO CPL;Und;REPUESTOS FINISHING
5000974;RUBBER ROLLER;Und;REPUESTOS FILM MIMA
5000577;SENSOR DE TEMPERATURA;Und;REPUESTOS HOT MELT
3000531;ROLLO MANUAL 10x17x150 MTS;Und;ROLLOS STRETCH COMER
3000400;OPTIUM EMULBYC AC x 05 GAL;Und;LUBRICANTES FABRICAD
5001382;MOUNT,TRIGGER SWITCH;Und;REPUESTOS HOT MELT
5000856;HOSE,06X08,240,APPL,NORD R236.-275.,P.375,L2;Und;REPUESTOS HOT MELT
AF1520B0029;MONTACARGAS;;ADITIVOS COMERCIALIZ
AF1520B0030;TANQUES PARA LUBRICANTES 2;;ADITIVOS COMERCIALIZ
3001405;LIMPIADOR DESINFECTANTE AQUA x 20 LITRO;Und;LINEA DESINFECTANTES
3000534;ROLLO MANUAL 12.5x28x433 BYCSA;Und;ROLLOS FABRICADOS
3000690;TROPAOLIN X 250 C.C.;CC3;REACTIVOS
3001512;SUAVIZANTE LIQUIDO FLORAL x 60 ML (MSVC);Und;LINEA DESINFECTANTES
3001455;CONNECTION SIGNALS FU;KGS;REPUESTOS FINISHING
3000727;VICAFIL SANTALE 4T x 25 KGS;Und;JABONES TREFILACION
AF1520B0031;MAQUINA EXTRUSORA;;ADITIVOS COMERCIALIZ
3000539;ROLLO MANUAL 15x15x450-0.60;Und;ROLLOS STRETCH COMER
5000882;PUMP CASING 0600 PVDF;Und;RPTO LINEA GALVANICA
1000456;RESINA BUTENO;Kg;RESINA COMERCIALIZAD
3001453;CAMISETA SANTAFE;Und;OTROS INGRESOS
3001456;TERMOSELLADORA VINIPELADORA;Und;ROLLOS STRETCH COMER
3000232;ECOTRI LT x 25 KGS;UND;ADITIVOS COMERCIALIZ
5001390;PLACAS DE GRAFITO 40X18X1.5 CM;Und;RPTO LINEA GALVANICA
3001566;DETERGENTE DESENGRASANTE x 04 LITROS;Und;LINEA DESINFECTANTES
3000096;BN BASE PLUS x 05 GAL;Und;ADITIVOS FABRICADOS
3001282;ELITE CAR TECHNOLOGY 5W30 SN X 01 GAL;Und;LUBRICANTES GOODYEAR
3000238;ELECTROPHRETIC LACQUER x 05 KGS;Und;ADITIVOS COMERCIALIZ
3000241;EXPT ALLBRITE BR-W 100 BA�O BRONCE;Und;ADITIVOS COMERCIALIZ
3000545;ROLLO MANUAL 33,4x19x450;Und;ROLLOS STRETCH COMER
5001462;WELDING WIRE (GREY) 1 ROD CA. 2M;Und;REPUESTOS FINISHING
3000079;BIFLORURO DE SODIO x 100 GRAMOS;GRAMOS;REACTIVOS
3001190;OPTIUM SAE 85W 140GL-5 MINERAL x 05 GAL COMERCIAL;Und;LUBRICANTES COMERCIA
5000113;CA�ON PLANO BF25;Und;REPUESTOS FINISHING
AF1520B0052;TRANSFORMADOR TIPO C;;ADITIVOS COMERCIALIZ
AF1520B0053;TRANSFORMADOR TIPO;;ADITIVOS COMERCIALIZ
3001612;ROLLO MANUAL 50x19x400 BYCSA;Und;ROLLOS FABRICADOS
5000491;PISTOLA MANUAL OPTISELECT COMPLETA NEGA;Und;REPUESTOS FINISHING
3000098;BN BASE ST x 05 GAL;Und;ADITIVOS FABRICADOS
5000580;SENSOR PT100;Und;REPUESTOS HOT MELT
3000169;CLEANER FA x  20 KGS;Und;ADITIVOS FABRICADOS
AF1520B0034;BASCULA DE CAPACIDAD;;ADITIVOS COMERCIALIZ
3000808;OPTIUM NAFTAPLAST M x  KG;Kg;LUBRICANTES FABRICAD
3000937;�CIDO OXALICO x 25 KGS;Und;ADITIVOS COMERCIALIZ
5000359;MANGUERA DE VENTILACION;Mts;REPUESTOS FINISHING
3000291;FUMETROL 21 LF2 x 25 KGS;Und;ADITIVOS COMERCIALIZ
3000347;MOVILUX CR-92 x 01 KGS;Und;ADITIVOS COMERCIALIZ
AF1524B0007;IMPRESORA INYECT HIGIENE;;ADITIVOS COMERCIALIZ
3001567;AMOQUARTS 250 PPM VARIEDAD LIMON X 4 LT;UND;LINEA DESINFECTANTES
5001363;TUBE,ALUM,.25DX.035WX8.0  ALUMINUM ALLOY SEAMLESS T;Und;REPUESTOS HOT MELT
3000891;COLD STRIP 130 x  01 KGS;KGS;FOSFATOS FABRICADOS
3000560;ROLLO MANUAL 50x19x300 BYCSA;Und;ROLLOS FABRICADOS
3000894;ULTRA CAT LE V4 x 01 KGS;KGS;FOSFATOS FABRICADOS
3001541;ANODOS PLOMO 1.65MTX6CM ANCHX2.5CM GRUE SIN GANCHO;KGS;ANODOS Y METALES
3000100;BN GREY PARTE 1 x 25 KGS;Und;ADITIVOS FABRICADOS
3000559;ROLLO MANUAL 50x17x450 EN KGS BYCSA;Und;ROLLOS FABRICADOS
AF1520B0056;MANDRIL CONICO;;ADITIVOS COMERCIALIZ
5000989;PLASTIC MOMENTARY DOORD;Und;REPUESTOS FILM MIMA
AF1520B0057;EXTRACTOR CAMARA SALINA;;ADITIVOS COMERCIALIZ
3000563;ROLLO MAQUINA 50x20x1630 en KGS BYCSA;Und;ROLLOS FABRICADOS
3000101;BN GREY PARTE 2 x 25 KGS;Und;ADITIVOS FABRICADOS
AF1520B0058;BOMBA PARA EL LABORATORIO;;ADITIVOS COMERCIALIZ
3000102;BN GREY PARTE 3 x 25 KGS;Und;ADITIVOS FABRICADOS
AF1520B0038;COEXTRUSORA DOLCI;;ADITIVOS COMERCIALIZ
3000905;CLING 15 PULG. CN x 4200 MTS;Und;ECOBYC CLING FILM
5001380;INSUL,TRIGGER SWITCH,HA;Und;REPUESTOS HOT MELT
3000103;BN GREY PARTE 4 x 25 KGS;Und;ADITIVOS FABRICADOS
3000771;ZINC LT x 20 KGS;Und;ADITIVOS FABRICADOS
3000985;CINTA TRANSP.48x100 SCANIA;Und;CINTA COMERCIALIZADA
3001048;BYC ANTIFOAM x 20 kg;Und;PLANTA TTO DE AGUAS
3000485;PAPEL ACILIT PH 0.5-5.5 (CAJA);Und;REACTIVOS
5000567;SEAL SET CRS 15 B  E.P.D.M;Und;RPTO LINEA GALVANICA
3000350;NICOLLOY ADDITIVE NI x 04 KGS;Und;ADITIVOS COMERCIALIZ
AF1520B0039;HERRAMIENTAS VARIAS;;ADITIVOS COMERCIALIZ
3001182;TRAJE PLASTICO DE PROTECCION BLANCO;Und;DESINFECCION COMERC
3000571;ROLLO STRETCH FILM AZUL 50 CM x 0.8;Und;ROLLOS STRETCH COMER
5000148;CHIPS CERAMICA C 20X20;KGS;RPTO LINEA GALVANICA
3001033;BYC COAG B x 04 KGS;Und;PLANTA TTO DE AGUAS
5000976;BELT FOR TENSION CONTROLLING IN MACHINES;Und;REPUESTOS FILM MIMA
3000963;BYCLENE ZCA X 60 KGS;Und;ADITIVOS FABRICADOS
5000321;JUNTA D.16 X 2 NIT;Und;REPUESTOS FINISHING
3000108;BN TAM x 01 GAL;Und;ADITIVOS FABRICADOS
3000243;FERRINOX 200 P x 04 KGS;Und;FOSFATOS FABRICADOS
3000245;FERRINOX 3-LE x 10 KGS;Und;FOSFATOS FABRICADOS
3001100;DIS-INFECTAN G x 20 LTS;Und;LINEA DESINFECTANTES
3000924;EQ. TRATAMIENTO DE AGUAS 3000 LTS;;PLANTA TTO DE AGUAS
3001256;GEL ANTIBACTERIAL EP x 04 Litros;UND;LINEA DESINFECTANTES
3000320;KLEANEX DEC x 55 GAL;Und;ADITIVOS FABRICADOS
5001392;TAMBOR CON CAPACIDAD DE 10 KG SIN MOTOR;Und;RPTO LINEA GALVANICA
AF1520B0045;MONTACARGAS 2.5 TON;;ADITIVOS COMERCIALIZ
3000351;NICOLLOY ADDITIVE NI x 20 KGS;Und;ADITIVOS COMERCIALIZ
3000933;ROLLO MAQUINA 50x28x16.2 BYCSA;Und;ROLLOS FABRICADOS
3000146;CARBON ACTIVADO GRANULAR;KGS;SALES
5000810;LOCKNUT 6050, PP;Und;RPTO LINEA GALVANICA
3000935;FERRINOX 3-LE x 20 KGS;Und;FOSFATOS FABRICADOS
3000352;NICOLLOY ADDITIVE SN (BF) x 25 KGS;Und;ADITIVOS COMERCIALIZ
5000795;DISCOS POLIESTER GALVANO;Und;RPTO LINEA GALVANICA
3001349;TADALCAST AZ x 04 KGS;Und;LUBRICANTES COMERCIA
5001393;MOTO-REDUCTOR PARA TAMBOR DE 10 KG DE 110 V;Und;RPTO LINEA GALVANICA
3000354;NICOLLOY CONDUCTIVE SALT (BF) x 05 KGS;Und;ADITIVOS COMERCIALIZ
3000367;NOVIGANTH ACCELERATOR 4100 x 04 KGS;Und;ADITIVOS COMERCIALIZ
AF1520B0046;MONTACARGAS MANUAL;;ADITIVOS COMERCIALIZ
3000944;ROLLO YUMBO 60x15x4500 EN KGS BYCSA;Und;ROLLOS FABRICADOS
3000946;ROLLO YUMBO 50x17x3600 BYCSA;Und;ROLLOS FABRICADOS
3000113;BYC CATALIZADOR CA x 05 GAL;Und;ADITIVOS FABRICADOS
3000114;BYC CHROME CTHC x 04 KGS;Und;ADITIVOS FABRICADOS
AF1520B0047;MOTORES TRIFASICOS CO AF0121;;ADITIVOS COMERCIALIZ
3000115;BYC CHROME CTHC x 20 KG;Und;ADITIVOS FABRICADOS
AF1528M0041;PORTATIL PRESIDENCIA ASUS UX362FA CI7 AZ;;ADITIVOS COMERCIALIZ
3000737;VICAFIL TF 1651 x 25 KGS;Und;JABONES TREFILACION
AF1520B0048;TANQUE 6000 GAL;;ADITIVOS COMERCIALIZ
3000368;NP A x 25 KGS;Und;ADITIVOS COMERCIALIZ
3000957;ROLLO YUMBO 90x17x4500 BYCSA;Und;ROLLOS FABRICADOS
3000321;KLEANEX DEC-AC 12  LE x 15 GAL;Und;FOSFATOS FABRICADOS
3001281;ELITE CAR TECHNOLOGY 5W30 SN x 1/4 GALON;Und;LUBRICANTES GOODYEAR
AF1520B0054;CHILL ROLLER-MQ STRETCH;;ADITIVOS COMERCIALIZ
3000964;CINTA TRANSP.48x100  PINJAS;Und;CINTA COMERCIALIZADA
3000965;ROLLO MADRE 15x15x4500 BYCSA;Und;ROLLOS FABRICADOS
3001372;JABON LIQUIDO PARA MANOS MANZANA VERDE x 04 LITRO;Und;LINEA DESINFECTANTES
3000116;BYC COAG B x 20 KGS;Und;PLANTA TTO DE AGUAS
AF1520B0055;MOTORES MAQUINA DOLCI;;ADITIVOS COMERCIALIZ
5000299;IMPELLER 2 BLADE PVDF BOMBA 0620;Und;RPTO LINEA GALVANICA
3001097;BYC COAG DC x 20 KGS;Und;PLANTA TTO DE AGUAS
3000043;ALLBRITE DIP SP - 10 x 20 KGS;Und;ADITIVOS FABRICADOS
AF1524B0001;ESTANTERIA PLANTA BARBOSA;;ADITIVOS COMERCIALIZ
5001070;FLAT JET NOZZLE NF21 CPL;Und;REPUESTOS FINISHING
AF1524B0002;ESTANTERIA EN HIERRO;;ADITIVOS COMERCIALIZ
3000396;OPTIUM DM SOLUBLE x  05 GAL;Und;LUBRICANTES FABRICAD
3001099;DIS-INFECTAN G x 04 LTS;Und;LINEA DESINFECTANTES
3000974;ROLLO MAQUINA 50x23x400 BYCSA;Und;ROLLOS FABRICADOS
3000835;BYC COAG DC x 1000 KGS (IBC);Und;PLANTA TTO DE AGUAS
3000813;BYC COAG DC x 200 KGS;Und;PLANTA TTO DE AGUAS
AF1524B0003;ESTANTERIA INDUSTRIAL;;ADITIVOS COMERCIALIZ
3001290;ELITE CAR EXPERT 15W40 CI-4 x 1/4 GAL;Und;LUBRICANTES GOODYEAR
5000267;FILTRO CABEZA BF MICRO;Und;REPUESTOS HOT MELT
3000038;ALLBRITE BLACK 2000 B x 25 KGS;Und;ADITIVOS FABRICADOS
5001384;TBD_100#DMELT,240V 3P,10GP,4H;Und;REPUESTOS HOT MELT
3000803;BYC COAG DC x 25 KGS;Und;PLANTA TTO DE AGUAS
3000988;OPTIUM GREASE EP-1 160 x 16 KGS;Und;LUBRICANTES COMERCIA
3000989;ROLLO MADRE SIGMAPLAST 30x15x4500 BYCSA;Und;ROLLOS FABRICADOS
3000868;BYC COAG DC x 35 KGS;Und;PLANTA TTO DE AGUAS
3000991;CINTA TRANSP. 60MM x100 MT ARTE PLASTIC FILM;Und;CINTA COMERCIALIZADA
5001031;CARTRIDGE KPL IG07;Und;REPUESTOS FINISHING
3000616;STRIPPEX AU x 20 KGS;Und;METALES PRECIOSOS
AF1524B0004;ESTIBADORES;;ADITIVOS COMERCIALIZ
3000619;SULFATO DE COBRE M X 25 KGS;KGS;SALES
5001403;GUN SHAFT GA03;Und;REPUESTOS FINISHING
AF1524B0005;HORNO DE CONVECCION NATURAL 65L LABORATO;;ADITIVOS COMERCIALIZ
3000642;OPTIUM GREASE MOLY X 16 KG;Und;LUBRICANTES COMERCIA
3001008;FOSFEX 90 LE x 05 GAL EN REPROCESO;Und;FOSFATOS FABRICADOS
5000835;CENTER POST DISC FILTER 0310, PP;Und;RPTO LINEA GALVANICA
3000126;BYC STABILIZER NI x 05 GAL;Und;ADITIVOS FABRICADOS
3001011;ROLLO MAQUINA 50x23x1600 BYCSA;Und;ROLLOS FABRICADOS
AF1528M0001;CAMARAS DE SEGURIDAD;;ADITIVOS COMERCIALIZ
3001579;GRAPA PL�STICA PARA ZUNCHO;Und;CINTA COMERCIALIZADA
3000127;BYC STABILIZER NI-LE x 05 GAL;Und;ADITIVOS FABRICADOS
5001321;HOSE CONNECTION - COMPLETE 06/4MM;Und;REPUESTOS FINISHING
3000128;BYC STABILIZER NI-LE x 15 GAL;Und;ADITIVOS FABRICADOS
5000705;VETABSOR SPAGHETTI GR;Und;RPTO LINEA GALVANICA
3000627;TADAL CO 32 x 185 KGS;Und;LUBRICANTES COMERCIA
3001023;CLING 18 PULG. CN X 1500M;Und;ECOBYC CLING FILM
3000872;REGENERADOR CATIONICO x 20 LITROS;Lt;REACTIVOS
3001293;ELITE CAR SUPERTRUK 15W40 CK-4 x 1/4 GAL;Und;LUBRICANTES GOODYEAR
5000764;OUTLET CAP 49000, PP/GV;Und;RPTO LINEA GALVANICA
5001299;HOSE,06X06,240,APPL,NORD R279.-326.,P.375,L2;Und;REPUESTOS HOT MELT
AF1528M0002;COMPUTADOR;;ADITIVOS COMERCIALIZ
3000593;SODA CAUSTICA AL 20% X 1 LT.;LTS;REACTIVOS
3000506;PROTOLUX CORRECTOR (BC) x KILO;Und;ADITIVOS COMERCIALIZ
3000641;TADAL GRC x 20 KGS;Und;LUBRICANTES COMERCIA
3000256;FOSFATION 32 X 70 KGS;Und;FOSFATOS FABRICADOS
3000646;TADAL SCREW 68 x 05 GAL;Und;LUBRICANTES COMERCIA
AF1528M0003;COMPUTADOR BARBOSA;;ADITIVOS COMERCIALIZ
3001056;ALCALINE COOPER CARRIER x 04 KGS;Und;ADITIVOS FABRICADOS
AF1528M0004;COMPUTADOR DIRECTOR COMERCIAL;;ADITIVOS COMERCIALIZ
3001042;EQ. TRATAMIENTO DE AGUAS 1700 LTS;;PLANTA TTO DE AGUAS
3000505;POTASIO CLORURO 3.0 MOLAR x LITRO;LTS;REACTIVOS
AF1528M0005;COMPUTADOR PARA LABORATORIO;;ADITIVOS COMERCIALIZ
3001088;ROLLO 45x12x300 SUPERSTRETCH FORMULA AUTOMATICA;Und;ROLLOS FABRICADOS
3000520;PULICLEAR 647 x 25 KGS;Und;ADITIVOS COMERCIALIZ
5001176;FLAT JET NOZZLE NF - 21;Und;REPUESTOS FINISHING
3001165;SOLUCION ANTIBACTERIAL EP x 1000 ML;Und;LINEA DESINFECTANTES
3000224;CUPRACID 210 B EUR x 25 KGS;Und;ADITIVOS COMERCIALIZ
3000132;BYCLENE B-22 x 15 GAL;Und;ADITIVOS FABRICADOS
AF1528M0006;COMPUTADOR PORTATIL;;ADITIVOS COMERCIALIZ
5000696;VALVULA RETENCION NW 4 NEGRO;Und;REPUESTOS FINISHING
3001296;ELITE GEAR 80W90 GL-5 x 1/4  GAL;Und;LUBRICANTES GOODYEAR
3000592;SODA CAUSTICA 50% x 05 KGS;KGS;REACTIVOS
3000671;TADALSOL S-672 x  20 KGS;Und;LUBRICANTES COMERCIA
AF1540M0005;RENAULT SANDERO JHS182-ANUAR SABOGAL;;ADITIVOS COMERCIALIZ
3000525;QUIMAL 912 x 29 KGS;Und;ADITIVOS COMERCIALIZ
AF1528M0007;COMPUTADOR PORTATIL LENOVO PASANTIA;;ADITIVOS COMERCIALIZ
3000025;ADITIVO DL x 05 KGS;Und;LUBRICANTES FABRICAD
3001061;BIOBAC MIT  x  60 KGS;Und;LINEA DE PAPEL
3001063;OPTIUM ENGRAFLUID SYNTHETIC 460 x 55 GAL;Und;LUBRICANTES COMERCIA
3000083;BIOLUBLE SOLUBLE ST x 05 GAL;Und;LUBRICANTES FABRICAD
3000526;QUIMAL DESOX 210 x 25 KGS;Und;ADITIVOS COMERCIALIZ
3000286;FULL LINE SAE 15W40 CI4 PLUS ROJO x 05;Und;LUBRICANTES FABRICAD
3000840;ROLLO STRETCH FILM NEGRO 50 CM x 0.8;Und;ROLLOS STRETCH COMER
3000711;UNIFIX 2 NS x 20 LITROS;Und;ADITIVOS FABRICADOS
AF1528M0008;COMPUTADOR PORTATIL MARTA JULIA;;ADITIVOS COMERCIALIZ
3001150;BOMBA TEKNA EVO AKS MODELO:AKS803NHP1;;PLANTA TTO DE AGUAS
3000287;FULL LINE SAE 20W50 SL x 05 GAL;Und;LUBRICANTES FABRICAD
5000952;FILTER COVER 67006B Blue EPDM/PP;Und;RPTO LINEA GALVANICA
5001205;JUEGO DE PIEZAS;Und;REPUESTOS FINISHING
3000288;FULL LINE SAE 20W50 SL x 55 GAL;Und;LUBRICANTES FABRICAD
3000289;FULL LINE SAE 80 W 90 GL-5 x 05 GAL;Und;LUBRICANTES FABRICAD
3000290;FULL LINE SAE 85W 140 GL-5 x 05 GAL;Und;LUBRICANTES FABRICAD
AF1528M0009;COMPUTADOR PORTATL CLAUDIA ARANGO;;ADITIVOS COMERCIALIZ
3001558;BYC LAC SOLUBLE E 406 x 04 KG;Und;ADITIVOS FABRICADOS
3000089;BN 83 ALLBRITE/BN 2010 ALLBRITE x 05 GA;Und;ADITIVOS FABRICADOS
3000372;OPTIUM 4T SAE 20W 50 MA/SL MINERAL x 05;Und;LUBRICANTES FABRICAD
5001465;SCREW;Und;REPUESTOS FINISHING
3000677;TERMOENCOGIBLE 30 (80CMS)PAI44DB80X19X6;Und;TERMOENCOGIBLE COMER
9000006;ARRENDAMIENTO OFICINA/BODEGA ADMON;UND;OTROS INGRESOS
3000678;TERMOENCOGIBLE 6  USA (15 CMS);Und;TERMOENCOGIBLE COMER
AF1528M0010;COMPUTADOR SISTEMAS;;ADITIVOS COMERCIALIZ
3000527;QUIMAL SEAL COLD 801 x 01 KGS;Und;ADITIVOS COMERCIALIZ
AF1528M0011;COMPUTADOR TESORERIA;;ADITIVOS COMERCIALIZ
3000586;SIDAFLOC K-711 x 25 KGS;Und;ADITIVOS COMERCIALIZ
5001466;CYLINDER SCREW M4 X 6MM;Und;REPUESTOS FINISHING
3000595;SOL.PREPARADORA PROTOLUX 3000;Und;ADITIVOS COMERCIALIZ
3000681;TRICHROME ADITIVO x 25 KGS;Und;ADITIVOS COMERCIALIZ
3000682;TRICHROME ADJUSTER x 25 KGS;Und;ADITIVOS COMERCIALIZ
3000683;TRICHROME CORRECTOR x 25 KGS;Und;ADITIVOS COMERCIALIZ
3000684;TRICHROME PURIFIER x 25 KGS;Und;ADITIVOS COMERCIALIZ
3000685;TRICHROME REGULATOR LR x 25 KGS;Und;ADITIVOS COMERCIALIZ
3000686;TRICHROME STABILIZER x 25 KGS;Und;ADITIVOS COMERCIALIZ
3000134;BYCLENE ZC x  60 KGS;Und;ADITIVOS FABRICADOS
3000203;COLD STRIP 130 x 060 KGS;Und;FOSFATOS FABRICADOS
5001475;HEATER ASSY 80W 240V DCL;Und;REPUESTOS HOT MELT
3000692;ULTRA CAT LE V4 x 20 KGS;Und;FOSFATOS FABRICADOS
3000693;ULTRA CAT LE x 04 KGS;Und;FOSFATOS FABRICADOS
3001094;TADAL CU 133 ACB-E x 55 GAL;Und;LUBRICANTES COMERCIA
3001562;ULTRA CAT x 060 KGS;Und;FOSFATOS FABRICADOS
3001364;ELITE MOTOBIKE 4T 20W50 JASO MA-2 X 1/4 GAL;Und;LUBRICANTES GOODYEAR
5001369;CABLE ASSY,HA,DCL,240V CABLE ASSEMBLY FOR HOT ME;Und;REPUESTOS HOT MELT
5001219;KIT BOQUILLA PLANA;Und;REPUESTOS FINISHING
5001242;GUN BODY GM04 CPL;Und;REPUESTOS FINISHING
5001216;KIT ELECTRODO;Und;REPUESTOS FINISHING
5000833;GUN CABLE CPL GA 03 30 MT;Und;REPUESTOS FINISHING
3000847;BYC AL x 25 KGS;Und;PLANTA TTO DE AGUAS
3001613;CLORURO POTASIO ALTA PUREZA x 1 KGS;KGS;SALES
5000864;HD,BEAD,01,M+BF,00,24,DC;Und;REPUESTOS HOT MELT
5000372;MANGUITO ROSCADO;Und;REPUESTOS FINISHING
1000301;ACIDO OXALICO;Kg;SALES
3000074;AYUDA FILTRO x 05 KGS;KGS;SALES
3000763;YODO 0.1N X 1 LT.;LTS;REACTIVOS
3000687;TRIDUR AZUL 3 HPC PLUS x KG;Und;ADITIVOS COMERCIALIZ
AF1520B0059;COMPRESOR 20 HP TORNILLO EMAX;;ADITIVOS COMERCIALIZ
3000688;TRIDUR ZN 43 A x 01 KGS;Und;ADITIVOS COMERCIALIZ
5000304;"INSERT SLEEVE ""PTFE"", COMPLETET";Und;REPUESTOS FINISHING
3000689;TRIDUR ZN 43 B x 01 KGS;Und;ADITIVOS COMERCIALIZ
3000704;UNICKLAT 571 HT x 25 KGS;Und;ADITIVOS COMERCIALIZ
3000705;UNICKLAT 572 HT x 25 KGS;Und;ADITIVOS COMERCIALIZ
5001149;FLTR,HOP,DMINI;Und;REPUESTOS HOT MELT
AF1528M0012;CONTRATO ARRENDAMIENTO SERVIDORES;;ADITIVOS COMERCIALIZ
AF1528M0013;CPU PENTIUM DUAL CORE;;ADITIVOS COMERCIALIZ
3000706;UNICKLAT NC 424 BR x 01 KGS;Und;ADITIVOS COMERCIALIZ
9000089;ARRENDAMIENTO EQUIPOS;UND;OTROS INGRESOS
3001403;LIMPIADOR DESINFECTANTE AQUA x 01 LITRO;Und;LINEA DESINFECTANTES
5000543;RESORTE MODULO UFD;Und;REPUESTOS HOT MELT
5001233;SUPER-CORONA CPL;Und;REPUESTOS FINISHING
5000497;PORTA ELECTRODOS NF CPL;Und;REPUESTOS FINISHING
3000544;ROLLO MANUAL 30x19x450 BYCSA;Und;ROLLOS FABRICADOS
3001108;TRIETANOLAMINA x 20 kg;KGS;SALES
3000714;UNIFIX 43 L-2 x 20 KGS;Und;FOSFATOS FABRICADOS
AF1528M0014;DOS COMPUTADORES NOMINA Y TESORERIA;;ADITIVOS COMERCIALIZ
5000424;O-RING 016x2 MM;Und;REPUESTOS FINISHING
3000707;UNICKLAT NC 424 RE x 01 KGS;Und;ADITIVOS COMERCIALIZ
3000708;UNICKLAT PURIFIER LCD x 25 KGS;Und;ADITIVOS COMERCIALIZ
3000138;BZ NC ABRILLANTADOR x 20 KGS;Und;ADITIVOS FABRICADOS
3001112;FUMIGADORA 5 LITROS;Und;DESINFECCION COMERC
3000626;TADAL BIO 3 x 05 KGS;Und;LUBRICANTES COMERCIA
3000722;VERDE DE BROMOCRESOL X 250 C.C.;LTS;REACTIVOS
5000227;ELECTRODO FLUJO PLANO;Und;REPUESTOS FINISHING
3000048;ALLBRITE SATIN SS 30 B x 20 KGS;Und;ADITIVOS FABRICADOS
3000721;UNIZINC ACZ 574 3X CONC x KILO;Und;ADITIVOS COMERCIALIZ
